ElementsType, Elements, ExactFunction, Order, PhysicalNames, MeshEntities, EntitiesPhysicalTags, MeshNodes, MeshElements, Coefficients, CoefficientList, L2NormU, L2NormGradU, H1NormU
Quad, 4, xy, 2, 5, 9, 5, 9, 12, 25, (-2.94102e-14; 4.11754e-13; 7.35349e-14; 4.99974e-13; 3.67675e-13; 0.5; -3.67582e-13; 1; -7.3815e-14; 0.5; -7.40751e-14; 5.00052e-13; -3.67817e-13; 4.11785e-13; 3.676e-13; 7.35159e-14; 0.25; 1.9524e-14; -1.96329e-14; 1.10523e-16; -1.94915e-14; 5.84211e-14; 1.95604e-14; -5.81685e-14; -5.28625e-17), 3.7459e-13, 1.9437e-12, 1.97947e-12
Tri, 2, xy, 2, 5, 9, 5, 4, 6, 11, (-1.66683e-13; 4.9993e-13; 4.16679e-13; 1; -4.1661e-13; 4.99792e-13; -4.1651e-13; 4.16825e-13; -0.25; -4.13699e-17; 8.58883e-17), 3.37959e-13, 1.86598e-12, 1.89634e-12
Tri, 8, xy, 2, 5, 9, 5, 9, 16, 33, (-2.94108e-14; 4.11758e-13; 7.35332e-14; 4.99964e-13; 3.67674e-13; 0.5; -3.67479e-13; 1; -7.29561e-14; 0.5; -7.3103e-14; 4.99933e-13; -3.67437e-13; 4.11777e-13; 3.67677e-13; 7.3521e-14; -0.0625; -1.40217e-16; 0.25; -9.15082e-15; 9.51198e-15; -5.10447e-17; -0.0625; 1.41366e-14; 9.25448e-15; 1.42882e-14; -0.0625; -1.42973e-14; -9.04994e-15; -1.42976e-14; -0.0625; 4.52081e-17; 4.11194e-17), 3.53979e-13, 1.99555e-12, 2.0267e-12
Quad, 1, x2, 2, 5, 9, 5, 4, 5, 9, (-1.67107e-13; 1; -0.25; 1; -1.45691e-12; -1.67316e-13; -0.25; 2.09003e-13; -1.8735e-15), 7.76871e-13, 2.96771e-12, 3.0677e-12
Quad, 4, x2, 2, 5, 9, 5, 9, 12, 25, (-2.93884e-14; 0.25; -0.0625; 1; -0.0625; 1; -8.57792e-13; 1; -8.57828e-13; 0.25; -0.0625; -2.94113e-14; -0.0625; -9.80665e-15; 2.4514e-14; 2.45017e-14; 0.25; -0.0625; -3.19385e-14; -5.83093e-14; -0.0625; 5.79395e-14; -3.19432e-14; -5.8303e-14; 5.79127e-14), 7.37783e-13, 3.43296e-12, 3.51134e-12
Tri, 2, x2, 2, 5, 9, 5, 4, 6, 11, (-1.66718e-13; 1; -0.25; 1; -1.45843e-12; -1.66795e-13; -0.25; 2.08444e-13; -0.25; -1.85574e-13; 1.85164e-13), 7.278e-13, 3.04022e-12, 3.12612e-12
Tri, 8, x2, 2, 5, 9, 5, 9, 16, 33, (-2.95715e-14; 0.25; -0.0625; 1; -0.0625; 1; -8.57277e-13; 1; -8.57162e-13; 0.25; -0.0625; -2.95486e-14; -0.0625; -9.84181e-15; 2.4613e-14; 2.46271e-14; -0.0625; -3.28769e-14; 0.25; -0.0625; -2.4092e-14; -1.01787e-14; -0.0625; -1.53025e-13; -0.0625; 1.80887e-13; -0.0625; -2.10891e-14; -8.7673e-14; -7.86278e-15; -0.0625; 9.63472e-15; 3.23472e-14), 7.16631e-13, 3.4836e-12, 3.55655e-12
Quad, 1, y2, 2, 5, 9, 5, 4, 5, 9, (-1.67392e-13; -1.67178e-13; 2.09084e-13; 1; -0.25; 1; -1.45619e-12; -0.25; -2.36139e-15), 7.76905e-13, 2.96751e-12, 3.06752e-12
Quad, 4, y2, 2, 5, 9, 5, 9, 12, 25, (-2.94238e-14; -9.80901e-15; 2.45268e-14; -2.94155e-14; 2.45216e-14; 0.25; -0.0625; 1; -0.0625; 1; -8.57715e-13; 1; -8.57745e-13; 0.25; -0.0625; -0.0625; 0.25; -3.20902e-14; -0.0625; 5.80737e-14; -3.20556e-14; 5.79819e-14; -0.0625; -5.82277e-14; -5.82447e-14), 7.37795e-13, 3.43301e-12, 3.5114e-12
Tri, 2, y2, 2, 5, 9, 5, 4, 6, 11, (-1.66708e-13; -1.66708e-13; 2.08397e-13; 1; -0.25; 1; -1.45772e-12; -0.25; -0.25; 1.85302e-13; -1.85327e-13), 7.27819e-13, 3.03959e-12, 3.12551e-12
